id,link,neighborhood,price,listing_type,num_guests,num_bed,num_bath,shared_bath,num_ammenities,number_review,overall_review,accuracy,communication,cleanliness,value,check_in,location
25841637,https://www.airbnb.com/rooms/25841637?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,158,Private,4,1,1,sharedbath,5,86,4.5,4.7,4.7,4.8,4.8,4.8,4.6
24392338,https://www.airbnb.com/rooms/24392338?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,225,Entire,4,2,1,notshared,4,109,4.5,4.8,4.9,4.7,4.8,4.8,4.9
25838923,https://www.airbnb.com/rooms/25838923?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,130,Private,2,1,1,sharedbath,5,73,4.5,4.7,4.7,4.9,4.9,4.9,4.6
13971471,https://www.airbnb.com/rooms/13971471?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,79,Shared,1,1,1,sharedbath,5,230,5,4.9,5,4.9,4.9,4.9,5
34929016,https://www.airbnb.com/rooms/34929016?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,86,Private,1,1,1,sharedbath,4,10,5,4.8,5,4.4,4.9,4.9,5
31591448,https://www.airbnb.com/rooms/31591448?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,253,Entire,5,2,1,notshared,4,49,5,4.8,5,4.8,5,5,5
36640606,https://www.airbnb.com/rooms/36640606?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,146,Private,2,1,1,notshared,4,0,0,0,0,0,0,0,0
13689663,https://www.airbnb.com/rooms/13689663?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,120,Private,1,1,1,sharedbath,4,169,5,4.8,4.9,4.7,4.9,4.9,4.9
14386712,https://www.airbnb.com/rooms/14386712?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,395,Entire,6,1,1.5,notshared,4,185,4.5,4.8,4.8,4.7,4.6,4.6,4.8
35601668,https://www.airbnb.com/rooms/35601668?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,298,Entire,2,1,1,notshared,4,9,5,5,5,5,4.9,4.9,4.9
1066769,https://www.airbnb.com/rooms/1066769?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,192,Private,2,1,1,sharedbath,4,364,5,5,4.9,4.9,4.9,4.9,4.8
21884096,https://www.airbnb.com/rooms/21884096?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,334,Entire,3,2,1,notshared,4,410,5,4.9,4.9,4.9,4.9,4.9,4.9
30958558,https://www.airbnb.com/rooms/30958558?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,362,Entire,6,3,1,notshared,4,26,4.5,4.5,3.5,4.5,3.4,3.4,4.9
